real_image,generated_before,generated_after,label,SSIM_before,SSIM_after,SSIM_Diff
49587_thumbnail.png,MC_combined_4.png,MC_combined_27.png,MC,0.13915816015088942,0.4650579324789841,0.32589977232809464
47431_thumbnail.png,MC_combined_4.png,MC_combined_27.png,MC,0.20562694106784596,0.22575918253613927,0.020132241468293316
57265_thumbnail.png,MC_combined_4.png,MC_combined_27.png,MC,0.1250543296601581,0.39318026197871125,0.2681259323185532
5456_thumbnail.png,MC_combined_4.png,MC_combined_27.png,MC,0.18401440354799511,0.2878814135431254,0.1038670099951303
39252_thumbnail.png,MC_combined_4.png,MC_combined_27.png,MC,0.16775942334431612,0.3457855272143256,0.17802610387000947
36678_thumbnail.png,MC_combined_4.png,MC_combined_27.png,MC,0.14143455609916397,0.16205685996636177,0.020622303867197794
20329_thumbnail.png,MC_combined_4.png,MC_combined_27.png,MC,0.17668778802498283,0.2682629227264847,0.09157513470150189
35792_thumbnail.png,MC_combined_4.png,MC_combined_27.png,MC,0.11341205956913047,0.3921367680905863,0.2787247085214558
48502_thumbnail.png,MC_combined_4.png,MC_combined_27.png,MC,0.08402865787610873,0.5324518886120709,0.4484232307359622
25331_thumbnail.png,MC_combined_4.png,MC_combined_27.png,MC,0.13706290780453198,0.42359533330152827,0.2865324254969963
23523_thumbnail.png,MC_combined_4.png,MC_combined_27.png,MC,0.12971069225109388,0.38268387303666135,0.25297318078556746
4797_thumbnail.png,MC_combined_4.png,MC_combined_27.png,MC,0.15885618006072458,0.3885807274200963,0.22972454735937173
39872_thumbnail.png,MC_combined_4.png,MC_combined_27.png,MC,0.2248314551384165,0.2329909197867471,0.008159464648330589
56993_thumbnail.png,MC_combined_4.png,MC_combined_27.png,MC,0.1338481374867961,0.3846077069217371,0.25075956943494104
14312_thumbnail.png,MC_combined_4.png,MC_combined_27.png,MC,0.1455668980914588,0.38526183159225486,0.23969493350079604
31297_thumbnail.png,MC_combined_4.png,MC_combined_27.png,MC,0.16231448109154645,0.321391400859207,0.15907691976766053
56799_thumbnail.png,MC_combined_4.png,MC_combined_27.png,MC,0.1693723175955473,0.34594754831881863,0.17657523072327133
48550_thumbnail.png,MC_combined_4.png,MC_combined_27.png,MC,0.1390002267169309,0.33656319977233246,0.19756297305540155
